delta,E_star,key,f,R_roi_SHM_annual,R_roi_pure_annual,pure_over_SHM_all_raw,boost_all_raw_annual,inv_speed_ratio_annual,pure_over_SHM_roi,pure_over_SHM_b200,pure_over_SHM_b125,pure_over_SHM_he,boost_roi_annual,boost_b200_annual,boost_b125_annual,boost_he_annual,boost_roi_over_endo,companions_125_200_per_200_270_SHM,companions_125_200_per_200_270_pure,companions_125_200_per_200_270_comp,frac_roi_SHM,frac_roi_pure,pct16_50_84_SHM_accepted,pct16_50_84_pure_accepted,pct16_50_84_SHM_raw,pct16_50_84_pure_raw,a1_roi_SHM,peak_doy_SHM,a1_roi_pure,peak_doy_pure,a1_roi_comp,peak_doy_comp,pure_roi_max_over_min
278,247.69,cold,0,1.6705e+07,4.3141e+06,0.25958,1,6.2948,0.25825,2.9591,0.065451,0.25425,1,1,1,1,1,6.4528,0.14273,6.4528,0.93474,0.93568,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[201.64660167203186, 218.50065815285626, 235.44003620877754]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[202.45605914041494, 220.15265935057985, 240.51120626951038]",0.041503,152.54,0.098846,75.599,0.041503,152.54,1.2196
278,247.69,cold,0.1,1.6705e+07,4.3141e+06,0.25958,0.92596,6.2948,0.25825,2.9591,0.065451,0.25425,0.92583,1.1959,0.90655,0.92542,1.0287,6.4528,0.14273,4.8915,0.93474,0.93568,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[201.64660167203186, 218.50065815285626, 235.44003620877754]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[202.45605914041494, 220.15265935057985, 240.51120626951038]",0.041503,152.54,0.098846,75.599,0.041107,148.75,1.2196
278,247.69,cold,0.2,1.6705e+07,4.3141e+06,0.25958,0.85192,6.2948,0.25825,2.9591,0.065451,0.25425,0.85165,1.3918,0.81309,0.85085,1.0646,6.4528,0.14273,3.7697,0.93474,0.93568,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[201.64660167203186, 218.50065815285626, 235.44003620877754]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[202.45605914041494, 220.15265935057985, 240.51120626951038]",0.041503,152.54,0.098846,75.599,0.040868,144.24,1.2196
278,247.69,cold,0.3,1.6705e+07,4.3141e+06,0.25958,0.77787,6.2948,0.25825,2.9591,0.065451,0.25425,0.77748,1.5877,0.71964,0.77627,1.1107,6.4528,0.14273,2.9247,0.93474,0.93568,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[201.64660167203186, 218.50065815285626, 235.44003620877754]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[202.45605914041494, 220.15265935057985, 240.51120626951038]",0.041503,152.54,0.098846,75.599,0.040908,138.84,1.2196
278,247.69,cold,0.5,1.6705e+07,4.3141e+06,0.25958,0.62979,6.2948,0.25825,2.9591,0.065451,0.25425,0.62913,1.9795,0.53273,0.62712,1.2583,6.4528,0.14273,1.7366,0.93474,0.93568,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[201.64660167203186, 218.50065815285626, 235.44003620877754]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[202.45605914041494, 220.15265935057985, 240.51120626951038]",0.041503,152.54,0.098846,75.599,0.042745,124.74,1.2196
278,247.69,fid,0,1.6705e+07,7.8433e+06,0.49246,1,3.4701,0.46951,2.7489,0.51798,0.8145,1,1,1,1,1,6.4528,1.216,6.4528,0.93474,0.89196,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[171.70810304193364, 194.5790940645633, 218.82880526121463]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[173.48222896116434, 198.43246348516172, 233.3126653169701]",0.041503,152.54,0.075102,133.65,0.041503,152.54,1.1626
278,247.69,fid,0.1,1.6705e+07,7.8433e+06,0.49246,0.94925,3.4701,0.46951,2.7489,0.51798,0.8145,0.94695,1.1749,0.9518,0.98145,1.0522,6.4528,1.216,5.2276,0.93474,0.89196,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[171.70810304193364, 194.5790940645633, 218.82880526121463]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[173.48222896116434, 198.43246348516172, 233.3126653169701]",0.041503,152.54,0.075102,133.65,0.04299,150.93,1.1626
278,247.69,fid,0.2,1.6705e+07,7.8433e+06,0.49246,0.89849,3.4701,0.46951,2.7489,0.51798,0.8145,0.8939,1.3498,0.9036,0.9629,1.1174,6.4528,1.216,4.3198,0.93474,0.89196,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[171.70810304193364, 194.5790940645633, 218.82880526121463]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[173.48222896116434, 198.43246348516172, 233.3126653169701]",0.041503,152.54,0.075102,133.65,0.04469,149.26,1.1626
278,247.69,fid,0.3,1.6705e+07,7.8433e+06,0.49246,0.84774,3.4701,0.46951,2.7489,0.51798,0.8145,0.84085,1.5247,0.8554,0.94435,1.2012,6.4528,1.216,3.6203,0.93474,0.89196,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[171.70810304193364, 194.5790940645633, 218.82880526121463]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[173.48222896116434, 198.43246348516172, 233.3126653169701]",0.041503,152.54,0.075102,133.65,0.046646,147.53,1.1626
278,247.69,fid,0.5,1.6705e+07,7.8433e+06,0.49246,0.74623,3.4701,0.46951,2.7489,0.51798,0.8145,0.73476,1.8744,0.75899,0.90725,1.4695,6.4528,1.216,2.6129,0.93474,0.89196,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[171.70810304193364, 194.5790940645633, 218.82880526121463]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[173.48222896116434, 198.43246348516172, 233.3126653169701]",0.041503,152.54,0.075102,133.65,0.051554,143.87,1.1626
278,247.69,hot,0,1.6705e+07,1.1341e+07,0.71388,1,1.9953,0.67892,1.8683,1.0715,1.2213,1,1,1,1,1,6.4528,3.7008,6.4528,0.93474,0.88842,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[148.06191222896325, 174.95272656736114, 204.82960131245488]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[150.03938106987073, 179.60554959533135, 222.82682383390423]",0.041503,152.54,0.018909,144.99,0.041503,152.54,1.0386
278,247.69,hot,0.1,1.6705e+07,1.1341e+07,0.71388,0.97139,1.9953,0.67892,1.8683,1.0715,1.2213,0.96789,1.0868,1.0071,1.0221,1.0754,6.4528,3.7008,5.9798,0.93474,0.88842,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[148.06191222896325, 174.95272656736114, 204.82960131245488]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[150.03938106987073, 179.60554959533135, 222.82682383390423]",0.041503,152.54,0.018909,144.99,0.039907,152.29,1.0386
278,247.69,hot,0.2,1.6705e+07,1.1341e+07,0.71388,0.94278,1.9953,0.67892,1.8683,1.0715,1.2213,0.93578,1.1737,1.0143,1.0443,1.1697,6.4528,3.7008,5.5767,0.93474,0.88842,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[148.06191222896325, 174.95272656736114, 204.82960131245488]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[150.03938106987073, 179.60554959533135, 222.82682383390423]",0.041503,152.54,0.018909,144.99,0.038203,152,1.0386
278,247.69,hot,0.3,1.6705e+07,1.1341e+07,0.71388,0.91416,1.9953,0.67892,1.8683,1.0715,1.2213,0.90368,1.2605,1.0214,1.0664,1.291,6.4528,3.7008,5.2291,0.93474,0.88842,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[148.06191222896325, 174.95272656736114, 204.82960131245488]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[150.03938106987073, 179.60554959533135, 222.82682383390423]",0.041503,152.54,0.018909,144.99,0.036379,151.66,1.0386
278,247.69,hot,0.5,1.6705e+07,1.1341e+07,0.71388,0.85694,1.9953,0.67892,1.8683,1.0715,1.2213,0.83946,1.4341,1.0357,1.1106,1.6789,6.4528,3.7008,4.6603,0.93474,0.88842,"[58.84042622279364, 132.20126576028963, 181.2874825719914]","[148.06191222896325, 174.95272656736114, 204.82960131245488]","[59.69028814688453, 137.99064220752066, 192.36683446515258]","[150.03938106987073, 179.60554959533135, 222.82682383390423]",0.041503,152.54,0.018909,144.99,0.032317,150.76,1.0386
300,267.29,cold,0,1.2376e+07,1.4235e+06,0.16977,1,6.2948,0.11502,1.1389,0.0055684,0.6965,1,1,1,1,1,6.0144,0.029406,6.0144,0.91027,0.62621,"[68.28500130692166, 148.6803532779825, 188.42307586659848]","[213.21371415016904, 228.94153371997783, 244.06324361145587]","[70.0630224650359, 153.8805839883053, 203.92168376782377]","[218.77321807674906, 242.4654315935064, 308.99082503153477]",0.032057,152.54,0.18349,75.605,0.032057,152.54,1.4496
300,267.29,cold,0.1,1.2376e+07,1.4235e+06,0.16977,0.91698,6.2948,0.11502,1.1389,0.0055684,0.6965,0.9115,1.0139,0.90056,0.96965,1.0128,6.0144,0.029406,5.3421,0.91027,0.62621,"[68.28500130692166, 148.6803532779825, 188.42307586659848]","[213.21371415016904, 228.94153371997783, 244.06324361145587]","[70.0630224650359, 153.8805839883053, 203.92168376782377]","[218.77321807674906, 242.4654315935064, 308.99082503153477]",0.032057,152.54,0.18349,75.605,0.032298,148.49,1.4496
